,x,y,z,Vx,Vy,Vz,t
1085,0.028453802689909935,-2.041095733642578,1.2756173610687256,0.0,0.0,0.0,8.266496658325195
1086,0.028453802689909935,-2.041095733642578,1.2756173610687256,0.0,0.0,0.0,8.27209758758545
1087,0.028453802689909935,-2.041095733642578,1.2756173610687256,0.0,0.0,0.0,8.277652025222778
1088,0.028453802689909935,-2.041095733642578,1.2756173610687256,0.0,0.0,0.0,8.282849311828613
1089,0.028453802689909935,-2.041095733642578,1.2756173610687256,0.0,0.0,0.0,8.288448333740234
1090,0.028453802689909935,-2.041095733642578,1.2756173610687256,0.0,0.0,0.0,8.29364562034607
1091,0.028453802689909935,-2.041095733642578,1.2756173610687256,0.0,0.0,0.0,8.299203157424927
1092,0.028453802689909935,-2.041095733642578,1.2756173610687256,0.0,0.0,0.0,8.304814338684082
1093,0.028453802689909935,-2.041095733642578,1.2756173610687256,0.0,0.0,0.0,8.310335397720337
1094,0.028453802689909935,-2.041095733642578,1.2756173610687256,0.0,0.0,0.0,8.317379236221313
1095,0.03007124550640583,-2.0425896644592285,1.2716305255889893,0.0,0.0,0.0,8.324432373046875
1096,0.03007124550640583,-2.0425896644592285,1.2716305255889893,0.0,0.0,0.0,8.330015420913696
1097,0.06,-2.056,1.523,0.0,0.0,0.0,8.335580348968506
1098,0.06,-2.056,1.523,0.0,0.0,0.0,8.341174125671387
1099,0.06,-2.056,1.523,0.0,0.0,0.0,8.346768617630005
1100,0.06,-2.056,1.523,0.0,0.0,0.0,8.352640628814697
1101,0.06,-2.056,1.523,0.0,0.0,0.0,8.358242750167847
1102,0.06,-2.056,1.523,0.0,0.0,0.0,8.36386513710022
1103,0.03451559320092201,-2.0426056385040283,1.2675338983535767,0.0,0.0,0.0,8.369561433792114
1104,0.03451559320092201,-2.0426056385040283,1.2675338983535767,0.0,0.0,0.0,8.375166893005371
1105,0.03451559320092201,-2.0426056385040283,1.2675338983535767,0.0,0.0,0.0,8.380518436431885
1106,0.03451559320092201,-2.0426056385040283,1.2675338983535767,0.0,0.0,0.0,8.386079788208008
1107,0.03451559320092201,-2.0426056385040283,1.2675338983535767,0.0,0.0,0.0,8.391695499420166
1108,0.03451559320092201,-2.0426056385040283,1.2675338983535767,0.0,0.0,0.0,8.397295951843262
1109,0.03451559320092201,-2.0426056385040283,1.2675338983535767,0.0,0.0,0.0,8.402945756912231
1110,0.03451559320092201,-2.0426056385040283,1.2675338983535767,0.0,0.0,0.0,8.40854811668396
1111,0.03451559320092201,-2.0426056385040283,1.2675338983535767,0.0,0.0,0.0,8.41380262374878
1112,0.03451559320092201,-2.0426056385040283,1.2675338983535767,0.0,0.0,0.0,8.419396877288818
1113,0.03913589194417,-2.0435972213745117,1.2634087800979614,0.0,0.0,0.0,8.42500638961792
1114,0.03913589194417,-2.0435972213745117,1.2634087800979614,0.0,0.0,0.0,8.430773496627808
1115,0.03913589194417,-2.0435972213745117,1.2634087800979614,0.0,0.0,0.0,8.436334371566772
1116,0.03913589194417,-2.0435972213745117,1.2634087800979614,0.0,0.0,0.0,8.441941261291504
1117,0.03913589194417,-2.0435972213745117,1.2634087800979614,0.0,0.0,0.0,8.447542905807495
1118,0.03913589194417,-2.0435972213745117,1.2634087800979614,0.0,0.0,0.0,8.453248023986816
1119,0.03913589194417,-2.0435972213745117,1.2634087800979614,0.0,0.0,0.0,8.45881175994873
1120,0.03913589194417,-2.0435972213745117,1.2634087800979614,0.0,0.0,0.0,8.465008974075317
1121,0.03913589194417,-2.0435972213745117,1.2634087800979614,0.0,0.0,0.0,8.470601558685303
1122,0.03979582339525223,-2.0477259159088135,1.2589408159255981,0.0,0.0,0.0,8.476184129714966
1123,0.03979582339525223,-2.0477259159088135,1.2589408159255981,0.0,0.0,0.0,8.482341051101685
1124,0.03979582339525223,-2.0477259159088135,1.2589408159255981,0.0,0.0,0.0,8.487938165664673
1125,0.03979582339525223,-2.0477259159088135,1.2589408159255981,0.0,0.0,0.0,8.49313497543335
1126,0.03979582339525223,-2.0477259159088135,1.2589408159255981,0.0,0.0,0.0,8.498736143112183
1127,0.03979582339525223,-2.0477259159088135,1.2589408159255981,0.0,0.0,0.0,8.503934621810913
1128,0.03979582339525223,-2.0477259159088135,1.2589408159255981,0.0,0.0,0.0,8.50953984260559
1129,0.03979582339525223,-2.0477259159088135,1.2589408159255981,0.0,0.0,0.0,8.51474380493164
1130,0.03979582339525223,-2.0477259159088135,1.2589408159255981,0.0,0.0,0.0,8.52034044265747
1131,0.03979582339525223,-2.0477259159088135,1.2589408159255981,0.0,0.0,0.0,8.525923728942871
1132,0.03979582339525223,-2.0477259159088135,1.2589408159255981,0.0,0.0,0.0,8.531557083129883
1133,0.071,-2.055,1.506,0.0,0.0,0.0,8.537364721298218
1134,0.071,-2.055,1.506,0.0,0.0,0.0,8.543515920639038
1135,0.071,-2.055,1.506,0.0,0.0,0.0,8.549025535583496
1136,0.071,-2.055,1.506,0.0,0.0,0.0,8.554590940475464
1137,0.071,-2.055,1.506,0.0,0.0,0.0,8.5602548122406
1138,0.071,-2.055,1.506,0.0,0.0,0.0,8.565826654434204
1139,0.071,-2.055,1.506,0.0,0.0,0.0,8.57149624824524
1140,0.05080670118331909,-2.0469717979431152,1.2505269050598145,0.0,0.0,0.0,8.577051877975464
1141,0.05080670118331909,-2.0469717979431152,1.2505269050598145,0.0,0.0,0.0,8.582204818725586
1142,0.077,-2.058,1.498,0.0,0.0,0.0,8.588258743286133
1143,0.077,-2.058,1.498,0.0,0.0,0.0,8.59368371963501
1144,0.077,-2.058,1.498,0.0,0.0,0.0,8.599204063415527
1145,0.077,-2.058,1.498,0.0,0.0,0.0,8.604732990264893
1146,0.077,-2.058,1.498,0.0,0.0,0.0,8.610345840454102
1147,0.077,-2.058,1.498,0.0,0.0,0.0,8.615952730178833
1148,0.077,-2.058,1.498,0.0,0.0,0.0,8.621105194091797
1149,0.077,-2.058,1.498,0.0,0.0,0.0,8.62670350074768
1150,0.05525560677051544,-2.047966241836548,1.2466753721237183,0.0,0.0,0.0,8.632216930389404
1151,0.05525560677051544,-2.047966241836548,1.2466753721237183,0.0,0.0,0.0,8.638267993927002
1152,0.05525560677051544,-2.047966241836548,1.2466753721237183,0.0,0.0,0.0,8.643462896347046
1153,0.05525560677051544,-2.047966241836548,1.2466753721237183,0.0,0.0,0.0,8.64885926246643
1154,0.05525560677051544,-2.047966241836548,1.2466753721237183,0.0,0.0,0.0,8.654467582702637
1155,0.05525560677051544,-2.047966241836548,1.2466753721237183,0.0,0.0,0.0,8.660026550292969
1156,0.05525560677051544,-2.047966241836548,1.2466753721237183,0.0,0.0,0.0,8.665657997131348
1157,0.05525560677051544,-2.047966241836548,1.2466753721237183,0.0,0.0,0.0,8.670807123184204
1158,0.084,-2.061,1.49,0.0,0.0,0.0,8.676408052444458
1159,0.084,-2.061,1.49,0.0,0.0,0.0,8.682010650634766
1160,0.06006154417991638,-2.0528066158294678,1.242513656616211,0.0,0.0,0.0,8.687609672546387
1161,0.06006154417991638,-2.0528066158294678,1.242513656616211,0.0,0.0,0.0,8.692801713943481
1162,0.06006154417991638,-2.0528066158294678,1.242513656616211,0.0,0.0,0.0,8.698404312133789
1163,0.06006154417991638,-2.0528066158294678,1.242513656616211,0.0,0.0,0.0,8.703734159469604
1164,0.06006154417991638,-2.0528066158294678,1.242513656616211,0.0,0.0,0.0,8.709327459335327
1165,0.06006154417991638,-2.0528066158294678,1.242513656616211,0.0,0.0,0.0,8.714479207992554
1166,0.06006154417991638,-2.0528066158294678,1.242513656616211,0.0,0.0,0.0,8.720078945159912
1167,0.06006154417991638,-2.0528066158294678,1.242513656616211,0.0,0.0,0.0,8.725688934326172
1168,0.06006154417991638,-2.0528066158294678,1.242513656616211,0.0,0.0,0.0,8.730843305587769
1169,0.06483437865972519,-2.056165933609009,1.2382018566131592,0.0,0.0,0.0,8.73644471168518
1170,0.06483437865972519,-2.056165933609009,1.2382018566131592,0.0,0.0,0.0,8.742092609405518
1171,0.06483437865972519,-2.056165933609009,1.2382018566131592,0.0,0.0,0.0,8.747660398483276
1172,0.06483437865972519,-2.056165933609009,1.2382018566131592,0.0,0.0,0.0,8.752819299697876
1173,0.095,-2.057,1.485,0.0,0.0,0.0,8.758416175842285
1174,0.095,-2.057,1.485,0.0,0.0,0.0,8.764025211334229
1175,0.095,-2.057,1.485,0.0,0.0,0.0,8.769585132598877
1176,0.095,-2.057,1.485,0.0,0.0,0.0,8.774762392044067
1177,0.095,-2.057,1.485,0.0,0.0,0.0,8.780359506607056
1178,0.095,-2.057,1.485,0.0,0.0,0.0,8.785956382751465
1179,0.07046723365783691,-2.057255983352661,1.234434962272644,0.0,0.0,0.0,8.791102886199951
1180,0.07046723365783691,-2.057255983352661,1.234434962272644,0.0,0.0,0.0,8.797709465026855
1181,0.07046723365783691,-2.057255983352661,1.234434962272644,0.0,0.0,0.0,8.803039312362671
1182,0.07046723365783691,-2.057255983352661,1.234434962272644,0.0,0.0,0.0,8.808549880981445
1183,0.07046723365783691,-2.057255983352661,1.234434962272644,0.0,0.0,0.0,8.814249277114868
1184,0.07046723365783691,-2.057255983352661,1.234434962272644,0.0,0.0,0.0,8.819809436798096
1185,0.07046723365783691,-2.057255983352661,1.234434962272644,0.0,0.0,0.0,8.825108766555786
1186,0.07046723365783691,-2.057255983352661,1.234434962272644,0.0,0.0,0.0,8.83030652999878
1187,0.07046723365783691,-2.057255983352661,1.234434962272644,0.0,0.0,0.0,8.835860967636108
1188,0.104,-2.054,1.483,0.0,0.0,0.0,8.84100866317749
1189,0.104,-2.054,1.483,0.0,0.0,0.0,8.846563816070557
